,pri ro spot ec12ens ron/mwh cet h f Avg 2024-04-09T00:00:00+02:00
2024-04-22 00:00:00+02:00,263.28786898039215
2024-04-22 01:00:00+02:00,250.3445072745098
2024-04-22 02:00:00+02:00,243.357020745098
2024-04-22 03:00:00+02:00,248.1536725882353
2024-04-22 04:00:00+02:00,252.13010086274505
2024-04-22 05:00:00+02:00,294.1251579215686
2024-04-22 06:00:00+02:00,357.3719933333333
2024-04-22 07:00:00+02:00,411.8408779411764
2024-04-22 08:00:00+02:00,330.716675627451
2024-04-22 09:00:00+02:00,279.6777282941176
2024-04-22 10:00:00+02:00,226.10310168627447
2024-04-22 11:00:00+02:00,198.60125870588234
2024-04-22 12:00:00+02:00,179.28411694117645
2024-04-22 13:00:00+02:00,163.55180027450982
2024-04-22 14:00:00+02:00,175.4070506666667
2024-04-22 15:00:00+02:00,194.89076990196077
2024-04-22 16:00:00+02:00,227.1980319607843
2024-04-22 17:00:00+02:00,289.43273876470585
2024-04-22 18:00:00+02:00,372.12432792156864
2024-04-22 19:00:00+02:00,450.5141269607843
2024-04-22 20:00:00+02:00,446.1499920588235
2024-04-22 21:00:00+02:00,393.04684788235295
2024-04-22 22:00:00+02:00,346.147009745098
2024-04-22 23:00:00+02:00,284.5708197254902
